ISO 8601 Time,Pressure (dbar)
2021-11-18T14:03:24.000,4.30
2021-11-18T14:03:25.000,8.00
2021-11-18T14:03:26.000,10.50
2021-11-18T14:03:27.000,13.00
2021-11-18T14:03:28.000,18.10
2021-11-18T14:03:29.000,20.60
2021-11-18T14:03:30.000,22.80
2021-11-18T14:03:31.000,26.70
2021-11-18T14:04:08.000,23.20
2021-11-18T14:04:09.000,18.80
2021-11-18T14:04:10.000,15.60
2021-11-18T14:04:11.000,13.00
2021-11-18T14:04:12.000,10.80
2021-11-18T14:04:13.000,8.80
2021-11-18T14:04:14.000,7.00
2021-11-18T14:04:15.000,5.50
2021-11-18T14:04:16.000,4.10
2021-11-18T14:04:17.000,3.00
2021-11-18T14:04:20.000,0.90
