ISO 8601 Time,Temperature (C)
2021-11-18T14:03:24.000,23.70
2021-11-18T14:03:25.000,24.24
2021-11-18T14:03:26.000,24.81
2021-11-18T14:03:27.000,25.28
2021-11-18T14:03:28.000,25.79
2021-11-18T14:03:29.000,26.36
2021-11-18T14:03:30.000,26.84
2021-11-18T14:03:31.000,27.27
2021-11-18T14:04:08.000,24.76
2021-11-18T14:04:09.000,24.52
2021-11-18T14:04:10.000,24.15
2021-11-18T14:04:11.000,23.66
2021-11-18T14:04:12.000,22.75
2021-11-18T14:04:13.000,22.32
2021-11-18T14:04:14.000,21.85
2021-11-18T14:04:15.000,21.44
2021-11-18T14:04:16.000,20.91
2021-11-18T14:04:17.000,20.50
2021-11-18T14:04:20.000,19.83
